hhid,persid,dayType,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,wasted_time
Y24H5800439,Y24H5800439P01,Weekday,vehicle driver,47,18.63746,47.0,1879.889566679,melb - middle,greater melbourne,0.0
Y24H5800439,Y24H5800439P02,Weekday,vehicle driver,8,3.35789,8.0,1460.418803201,melb - middle,greater melbourne,0.0
Y24H5800529,Y24H5800529P01,Weekday,vehicle driver,30,10.69392,30.0,2409.286279319,melb - outer,greater melbourne,0.0
Y24H5800529,Y24H5800529P02,Weekday,vehicle driver,68,58.05323,68.0,1849.415724709,melb - outer,greater melbourne,0.0
Y24H5800534,Y24H5800534P01,Weekend,vehicle driver,13,9.00704,15.0,1287.82096626,melb - outer,greater melbourne,2.0
Y24H5810101,Y24H5810101P01,Weekday,vehicle driver,55,19.73045,55.0,876.967888617,melb - outer,greater melbourne,0.0
Y24H5810101,Y24H5810101P02,Weekday,vehicle driver,15,8.16556,15.0,1245.726612342,melb - outer,greater melbourne,0.0
Y24H5810101,Y24H5810101P04,Weekday,vehicle driver,30,25.45395,30.0,1349.768954359,melb - outer,greater melbourne,0.0
Y24H5810102,Y24H5810102P01,Weekday,vehicle driver,25,18.55291,25.0,928.883808183,melb - outer,greater melbourne,0.0
Y24H5810102,Y24H5810102P02,Weekday,vehicle driver,28,16.46843,28.0,965.153348458,melb - outer,greater melbourne,0.0
Y24H5810105,Y24H5810105P02,Weekday,vehicle driver,24,18.19059,24.0,1734.813800472,melb - outer,greater melbourne,0.0
Y24H5810108,Y24H5810108P01,Weekday,vehicle driver,26,18.2823,26.0,932.539135225,melb - outer,greater melbourne,0.0
Y24H5810115,Y24H5810115P02,Weekday,vehicle driver,70,46.13884,70.0,895.188381215,melb - outer,greater melbourne,0.0
